review,label
"I absolutely loved this product, works perfectly!",1
"Terrible experience. It broke after two days.",0
"Amazing! Highly recommend it to everyone.",1
"Not worth the money. Very disappointed.",0
"Great value for the price. Will buy again.",1
"Cheap materials and bad packaging.",0
"Fantastic performance and sleek design.",1
"Didn't work as expected. Waste of money.",0
"Very satisfied with my purchase!",1
"The quality is awful. Returning it now.",0
"Exactly what I needed, thank you!",1
"Stopped working after one use.",0
"Excellent support and fast shipping.",1
"Horrible. Never buying this brand again.",0
"Five stars! Works like a charm.",1
"The item is defective and useless.",0
"Love it! Will recommend to my friends.",1
"Didn't match the description at all.",0
"Super fast delivery and great quality.",1
"Regret buying this. Low quality.",0
